1,78.3698727
1,158.41164
1,234.82838
1,317.8879333
0.9846985,428.2192439
0.6827251,535.108292
0.2815759,619.9236895
0.0605981,668.6450571
0.0149404,712.8221252
0.0006868,738.4577335
0,785.8366881
0,815.488344
1,148.069165
1,217.7083792
1,290.3249156
1,375.0643167
0.6583493,493.5642706
0.1854305,577.0426548
0.02668482,624.2258897
0.0024304,660.0887106
0.0007634,696.271916
0,733.7412759
0,785.6202
0,831.6422286
1,201.1200894
1,263.0432639
1,343.5319682
1,432.2198739
0.2933938,531.8447215
0.0435753,612.7996664
0.0023824,650.8627913
0,687.2289734
0,738.1478761
0,775.4616119
0,828.7592343
0,874.9912426
1,252.7492718
1,316.12691
1,402.9202524
0.9641667,494.0690583
0.1397133,586.3590908
0.0130226,644.7504827
0.0002389,691.0881581
0,730.601776
0,781.8216993
0,822.7667684
0,873.8608071
0,920.8755857
1,288.9885714
1,359.4274199
1,455.8316182
0.8202995,550.3532529
0.0480851,632.0593521
0.0023624,673.6560459
0,726.3323338
0,766.0312214
0,815.048042
0,860.0728786
0,915.8651429
0,963.2765071
1,333.6782039
1,415.51088
1,501.6490777
0.4901871,603.2085866
0.0093475,666.7033723
0,706.702364
0,760.1054564
0,801.3747153
0,851.1071345
0,899.0106939
0,966.4797694
0,1016.489691
1,389.3130187
1,482.907156
0.9890765,561.1727607
0.160055155,650.824004
0.0039809,714.1551911
0,752.788677
0,802.3091971
0,845.2166718
0,902.0411389
0,950.9423338
0,1033.446223
0,1080.977607
